name,pic,quote,ranking,score,score_num,star,subject
搏击俱乐部,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1910931622.jpg,邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。,62,9.0,851807,rating45-t,https://movie.douban.com/subject/1292000/
美丽心灵,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1665997400.jpg,爱是一切逻辑和原由。,63,9.1,773973,rating45-t,https://movie.douban.com/subject/1306029/
本杰明·巴顿奇事,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2192535722.jpg,在时间之河里感受溺水之苦。,64,9.0,989368,rating45-t,https://movie.douban.com/subject/1485260/
穿条纹睡衣的男孩,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1473670352.jpg,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。,65,9.2,569716,rating45-t,https://movie.douban.com/subject/3008247/
窃听风暴,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1808872109.jpg,别样人生。,66,9.2,568386,rating45-t,https://movie.douban.com/subject/1900841/
情书,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2648230660.jpg,暗恋的极致。,67,8.9,1122763,rating45-t,https://movie.douban.com/subject/1292220/
两杆大烟枪,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792443418.jpg,4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。,68,9.1,598675,rating45-t,https://movie.douban.com/subject/1293350/
西西里的美丽传说,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2441988159.jpg,美丽无罪。,69,8.9,982000,rating45-t,https://movie.douban.com/subject/1292402/
看不见的客人,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2498971355.jpg,你以为你以为的就是你以为的。,70,8.8,1279170,rating45-t,https://movie.douban.com/subject/26580232/
音乐之声,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p453788577.jpg,用音乐化解仇恨，让歌声串起美好。,71,9.1,607203,rating45-t,https://movie.douban.com/subject/1294408/
阿凡达,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2896589067.jpg,绝对意义上的美轮美奂。,72,8.8,1430980,rating45-t,https://movie.douban.com/subject/1652587/
拯救大兵瑞恩,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1014542496.jpg,美利坚精神输出大片No1.,73,9.1,651537,rating45-t,https://movie.douban.com/subject/1292849/
哈利·波特与死亡圣器(下),https://img2.doubanio.com/view/photo/s_ratio_poster/public/p917846733.jpg,10年的完美句点。,74,9.0,839099,rating45-t,https://movie.douban.com/subject/3011235/
飞越疯人院,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792238287.jpg,自由万岁。,75,9.1,550469,rating45-t,https://movie.douban.com/subject/1292224/
小鞋子,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2165511465.jpg,奔跑的孩子是天使。,76,9.2,414059,rating45-t,https://movie.douban.com/subject/1303021/
沉默的羔羊,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1593414327.jpg,安东尼·霍普金斯的顶级表演。,77,8.9,896364,rating45-t,https://movie.douban.com/subject/1293544/
布达佩斯大饭店,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2896589466.jpg,小清新的故事里注入了大历史的情怀。,78,8.9,943152,rating45-t,https://movie.douban.com/subject/11525673/
禁闭岛,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p450262388.jpg,昔日翩翩少年，今日大腹便便。,79,8.9,985054,rating45-t,https://movie.douban.com/subject/2334904/
功夫,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2219011938.jpg,警恶惩奸，维护世界和平这个任务就交给你了，好吗？,80,8.8,1144096,rating45-t,https://movie.douban.com/subject/1291543/
蝴蝶效应,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2209066019.jpg,人的命运被自己瞬间的抉择改变。,81,8.9,945014,rating45-t,https://movie.douban.com/subject/1292343/
致命魔术,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p480383375.jpg,孪生蝙蝠侠大战克隆金刚狼。,82,8.9,866381,rating45-t,https://movie.douban.com/subject/1780330/
哈利·波特与阿兹卡班的囚徒,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1910812549.jpg,不一样的导演，不一样的哈利·波特。,83,8.9,738340,rating45-t,https://movie.douban.com/subject/1291544/
